Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,DTR Rating,# of Reviews,Mobility,Recovery,Resilience,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10
Wing Contender,1127237110,"""6917529088839131185""",,Legendary,Helmet,crucible,Hunter,629,Arc Damage Resistance,2,Vault,false,false,2,4,,5,3,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Crucible Legacy*,Heavy Lifting*,Hands-On,Grenade Launcher Reserves*,Sniper Rifle Reserves,,
Ancient Apocalypse Mark,3339632627,"""6917529085800927478""",,Legendary,Titan Mark,gambit,Titan,485,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Gambit Leather*,Innervation,Better Already*,Scout Rifle Reserves*,Sidearm Reserves,,,,,
Wing Discipline,185853176,"""6917529084199289897""",,Legendary,Titan Mark,crucible,Titan,500,Solar Damage Resistance,2,Vault,false,false,2,4,,5,1,0,0,0,,Tier 2 Armor*,Crucible Legacy*,Recuperation*,Better Already,Sniper Rifle Scavenger*,Sword Scavenger,,,,,
Vanguard Dare Casque,2754217990,"""6917529086749343349""",,Legendary,Helmet,eververse,Hunter,10,Solar Damage Resistance,2,Vault,false,false,2,5,,N/A,N/A,1,1,1,,Tier 2 Armor*,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Shotgun Targeting*,Heavy Lifting,Fusion Rifle Reserves*,Sniper Rifle Reserves,,,
Memory of Cayde,1014677029,"""6917529079483014011""",,Legendary,Warlock Bond,,Warlock,500,Arc Damage Resistance,2,Vault,false,false,2,4,,4.9,24,0,0,0,,Ordnance Mod*,Tier 2 Armor*,Innervation*,Heavy Ammo Finder*,,,,,,,
Tangled Web Robes,1034149520,"""6917529085142503914""",,Legendary,Chest Armor,,Warlock,618,Arc Damage Resistance,3,Vault,false,false,2,4,,N/A,N/A,1,2,1,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 3 Armor*,Frumious Blue*,Unflinching Bow Aim*,Unflinching Scout Rifle Aim,Scout Rifle Reserves,Special Ammo Finder*,,
Tangled Web Mask,4261835528,"""6917529084796202727""",,Legendary,Helmet,,Hunter,622,Void Damage Resistance,4,Vault,false,false,2,4,,5,2,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 4 Armor*,Frumious Blue*,Linear Fusion Rifle Targeting,Pump Action*,Grenade Launcher Reserves,Special Ammo Finder*,,
Prodigal Grasps,2762426792,"""6917529086752399657""",,Legendary,Gauntlets,,Hunter,634,Solar Damage Resistance,1,Vault,false,false,2,4,,5,1,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Fusion Rifle Loader*,Large Weapon Loader,Linear Fusion Rifle Scavenger*,Sniper Rifle Scavenger,,,
Prodigal Vest,2766448160,"""6917529088578437534""",,Legendary,Chest Armor,,Hunter,650,Solar Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Unflinching Linear Fusion Aim*,Unflinching Kinetic Aim,Auto Rifle Reserves*,Scout Rifle Reserves,,,
Wing Theorem,3724026171,"""6917529079359717809""",,Legendary,Helmet,crucible,Warlock,500,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,1,1,,Mobile Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Hand Cannon Targeting*,Remote Connection,Fusion Rifle Reserves,Sniper Rifle Reserves*,,
Symmetrists' Mask,773780651,"""6917529088879851278""",,Legendary,Helmet,eververse,Warlock,10,Arc Damage Resistance,2,Vault,false,false,2,5,,N/A,N/A,1,2,0,,Tier 2 Armor*,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Heavy Lifting*,Special Ammo Finder*,,,,,
Prodigal Cloak,1693706589,"""6917529088275231259""",,Legendary,Hunter Cloak,,Hunter,650,Solar Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 2 Armor*,Invigoration*,Better Already,Sniper Rifle Scavenger*,Special Ammo Finder,,,,,,
Memory of Cayde Cloak,625602056,"""6917529083292380831""",,Legendary,Hunter Cloak,,Hunter,600,Arc Damage Resistance,2,Vault,false,false,2,4,,4.8,56,0,0,0,,Paragon Mod*,Tier 2 Armor*,Precursor Vex Chrome*,Insulation*,Heavy Ammo Finder*,,,,,,
Symmetrists' Palms,3349428378,"""6917529083736328808""",,Legendary,Gauntlets,eververse,Warlock,10,Arc Damage Resistance,2,Vault,false,false,2,5,,N/A,N/A,1,2,0,,Tier 2 Armor*,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Momentum Transfer*,Sniper Rifle Scavenger*,,,,,
Vanguard Dare Casque,2754217990,"""6917529086763264172""",,Legendary,Helmet,eververse,Hunter,10,Solar Damage Resistance,2,Vault,false,false,2,5,,N/A,N/A,1,1,1,,Tier 2 Armor*,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Shotgun Targeting*,Energy Weapon Targeting,Sniper Rifle Reserves*,Sword Reserves,,,
Wing Theorem,3724026171,"""6917529084019622555""",,Legendary,Helmet,crucible,Warlock,603,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,1,1,,Mobile Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Sidearm Targeting*,Hands-On,Grenade Launcher Reserves*,Special Ammo Finder,,
Scatterhorn Mark,1347463276,"""6917529087147285126""",,Legendary,Titan Mark,tangled,Titan,500,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Tangled Rust*,Innervation*,Better Already,Shotgun Scavenger*,Sword Scavenger,,,,,
Tangled Web Gloves,2502004600,"""6917529086132204513""",,Legendary,Gauntlets,,Warlock,613,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Submachine Gun Loader*,Impact Induction,Grenade Launcher Scavenger*,Shotgun Scavenger,,,
Tangled Web Vest,2648545535,"""6917529086763268768""",,Legendary,Chest Armor,,Hunter,633,Solar Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Unflinching Pulse Rifle Aim*,Unflinching Light Arms Aim,Hand Cannon Reserves*,Special Ammo Finder,,,
Reverie Dawn Boots,188778964,"""6917529081096017178""",,Legendary,Leg Armor,dreaming,Warlock,599,Void Damage Resistance,1,Vault,false,false,2,4,,5,3,1,1,1,,Mobile Warlock Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Riven's Curse*,Tier 1 Armor*,Noble Constant Red*,Bow Dexterity,Sniper Rifle Dexterity,Enhanced Shotgun Dexterity*,Scout Rifle Scavenger,Special Ammo Finder*
Prodigal Grasps,2762426792,"""6917529086766248870""",,Legendary,Gauntlets,,Hunter,622,Arc Damage Resistance,1,Vault,false,false,2,4,,5,1,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Sniper Rifle Loader*,Impact Induction,Heavy Ammo Finder*,Machine Gun Scavenger,,,
Frostreach Boots,2168550540,"""6917529087193106290""",,Legendary,Leg Armor,eververse,Warlock,10,Solar Damage Resistance,1,Vault,false,false,2,5,The Dawning,N/A,N/A,1,1,1,,Tier 1 Armor*,Heavy Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Pulse Rifle Dexterity*,Bomber,Arrow Scavenger*,Hand Cannon Scavenger,,,
Dragonfly Regalia Boots,44150041,"""6917529080029776998""",,Legendary,Leg Armor,eververse,Warlock,10,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Tier 2 Armor*,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Grenade Launcher Dexterity*,Pulse Rifle Dexterity,Arrow Scavenger*,Sidearm Scavenger,,,
Symmetrists' Habit,3634634222,"""6917529085127273759""",,Legendary,Chest Armor,eververse,Warlock,10,Void Damage Resistance,1,Vault,false,false,2,5,,N/A,N/A,1,2,1,,Tier 1 Armor*,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Unflinching Scout Rifle Aim*,Unflinching Shotgun Aim,Sidearm Reserves*,Primary Ammo Finder,,,
Prodigal Steps,2767830203,"""6917529085127276839""",,Legendary,Leg Armor,,Warlock,594,Arc Damage Resistance,3,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 3 Armor*,Grenade Launcher Dexterity*,Traction,Auto Rifle Scavenger*,Arrow Scavenger,,,
Iron Remembrance Strides,3678620931,"""6917529082520173021""",,Legendary,Leg Armor,ironbanner,Hunter,600,Solar Damage Resistance,3,Vault,false,false,2,4,,N/A,N/A,2,0,1,,Heavy Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 3 Armor*,Rusted Iron*,Rocket Launcher Dexterity*,Outreach,Scout Rifle Scavenger*,Special Ammo Finder,,
Liminal Voyager Boots,3785074629,"""6917529080548902850""",,Legendary,Leg Armor,eververse,Warlock,10,Arc Damage Resistance,3,Vault,false,false,2,4,Festival of the Lost,N/A,N/A,1,2,0,,Tier 3 Armor*,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Fusion Rifle Dexterity*,Shotgun Dexterity,Sidearm Scavenger*,Special Ammo Finder,,,
Woven Firesmith Mask,3086191374,"""6917529085749179101""",,Legendary,Helmet,blackarmory,Hunter,641,Arc Damage Resistance,2,Vault,false,false,2,5,,5,1,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,New Age Black Armory*,Submachine Gun Targeting,Sniper Rifle Targeting*,Fusion Rifle Reserves,Special Ammo Finder*,,
Vigil of Heroes,3670149407,"""6917529083292376147""",,Legendary,Hunter Cloak,strikes,Hunter,600,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Vanguard Veteran*,Insulation*,Better Already,Sidearm Scavenger*,Sword Scavenger,,,,,
Reverie Dawn Casque,2824453288,"""6917529086134885258""",,Legendary,Helmet,dreaming,Hunter,648,Arc Damage Resistance,2,Vault,false,false,2,4,,5,4,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Bow Targeting,Pulse Rifle Targeting*,Light Reactor,Shotgun Reserves,Sword Reserves*
Yuga Sundown Bond,3792548907,"""6917529085127276903""",,Legendary,Warlock Bond,ep,Warlock,380,,,Vault,false,false,1,3,,N/A,N/A,0,0,0,,Masterwork Upgrade*,,,,,,,,,,
Skerren Corvus Grasps,4187872788,"""6917529080639175023""",,Legendary,Gauntlets,eververse,Hunter,10,Void Damage Resistance,2,Vault,false,false,2,4,Festival of the Lost,N/A,N/A,3,0,0,,Tier 2 Armor*,Mobile Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Impact Induction*,Large Weapon Loader,Shotgun Scavenger*,Sniper Rifle Scavenger,,,
Skerren Corvus Strides,4051153950,"""6917529081102004539""",,Legendary,Leg Armor,eververse,Hunter,10,Arc Damage Resistance,2,Vault,false,false,2,4,Festival of the Lost,N/A,N/A,3,0,0,,Tier 2 Armor*,Mobile Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Submachine Gun Dexterity*,Perpetuation,Scout Rifle Scavenger*,Submachine Gun Scavenger,,,
Wing Contender,1127237110,"""6917529086778016030""",,Legendary,Helmet,crucible,Hunter,625,Void Damage Resistance,4,Vault,false,false,2,4,,5,4,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 4 Armor*,Crucible Legacy*,Shotgun Targeting*,Ashes to Assets,Special Ammo Finder*,Machine Gun Reserves,,
Tangled Web Strides,2206284939,"""6917529086787640001""",,Legendary,Leg Armor,,Hunter,627,Arc Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 2 Armor*,Outreach*,Energy Dexterity,Hand Cannon Scavenger*,Sidearm Scavenger,,,
Tangled Web Vest,2648545535,"""6917529086925054947""",,Legendary,Chest Armor,,Hunter,650,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Unflinching Kinetic Aim*,Unflinching Rifle Aim,Hand Cannon Reserves*,Primary Ammo Finder,,,
Frostveil Cloak,3301429924,"""6917529086074529257""",,Legendary,Hunter Cloak,eververse,Hunter,10,Void Damage Resistance,1,Vault,false,false,2,5,The Dawning,N/A,N/A,0,0,0,,Tier 1 Armor*,Innervation*,Recuperation,Pulse Rifle Scavenger*,Special Ammo Finder,,,,,,
Ancient Apocalypse Gloves,2440840551,"""6917529082672687351""",,Legendary,Gauntlets,gambit,Warlock,582,Arc Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Gambit Leather*,Auto Rifle Loader*,Momentum Transfer,Sniper Rifle Scavenger*,Heavy Ammo Finder,,
Prodigal Mask,4104298449,"""6917529086805505750""",,Legendary,Helmet,,Hunter,630,Arc Damage Resistance,1,Vault,false,false,2,4,,5,1,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Pulse Rifle Targeting*,Energy Weapon Targeting,Fusion Rifle Reserves*,Sword Reserves,,,
Prodigal Mask,4104298449,"""6917529085776649667""",,Legendary,Helmet,,Hunter,622,Arc Damage Resistance,1,Vault,false,false,2,4,,5,1,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Impact Mod*,Tier 1 Armor*,Remote Connection*,Energy Weapon Targeting,Sniper Rifle Reserves*,Special Ammo Finder,,
Tangled Web Mask,4261835528,"""6917529088634845339""",,Legendary,Helmet,,Hunter,650,Arc Damage Resistance,4,Vault,false,false,2,4,,N/A,N/A,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 4 Armor*,Hands-On*,Remote Connection,Special Ammo Finder*,Machine Gun Reserves,,,
Yuga Sundown Boots,685439088,"""6917529085130710368""",,Legendary,Leg Armor,ep,Warlock,380,,,Vault,false,false,1,3,,N/A,N/A,1,1,1,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Masterwork Armor*,,,,,,,
Vigil of Heroes,575676771,"""6917529084723770948""",,Legendary,Helmet,strikes,Hunter,614,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,0,2,,Heavy Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Vanguard Veteran*,Sniper Rifle Targeting*,Energy Weapon Targeting,Grenade Launcher Reserves*,Sword Reserves,,
Vigil of Heroes,1490307366,"""6917529085798107783""",,Legendary,Gauntlets,strikes,Titan,492,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,1,,Mobile Titan Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Vanguard Veteran*,Hand Cannon Loader*,Momentum Transfer,Shotgun Scavenger*,Machine Gun Scavenger,,
Ancient Apocalypse Vest,3855285278,"""6917529086802918001""",,Legendary,Chest Armor,gambit,Hunter,632,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,2,,Mobile Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Gambit Leather*,Unflinching Pulse Rifle Aim*,Unflinching Kinetic Aim,Sidearm Reserves*,Submachine Gun Reserves,,
Tangled Web Robes,1034149520,"""6917529082001397617""",,Legendary,Chest Armor,,Warlock,583,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,1,2,1,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Unflinching Auto Rifle Aim*,Unflinching Scout Rifle Aim,Hand Cannon Reserves*,Scout Rifle Reserves,,,
Liminal Voyager Robes,1575548701,"""6917529080152191663""",,Legendary,Chest Armor,eververse,Warlock,10,Solar Damage Resistance,1,Vault,false,false,2,4,Festival of the Lost,N/A,N/A,1,2,1,,Tier 1 Armor*,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Unflinching Energy Aim*,Unflinching Power Aim,Hand Cannon Reserves*,Pulse Rifle Reserves,,,
Ancient Apocalypse Cloak,3184912423,"""6917529084604646475""",,Legendary,Hunter Cloak,gambit,Hunter,593,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Gambit Leather*,Invigoration*,Better Already,Hand Cannon Reserves*,Sword Reserves,,,,,
Wing Contender,1084033161,"""6917529086015672614""",,Legendary,Leg Armor,crucible,Hunter,614,Solar Damage Resistance,1,Vault,false,false,2,4,,5,2,1,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Perpetuation*,Light Arms Dexterity,Submachine Gun Scavenger*,Primary Ammo Finder,,
Wing Discipline,2555965565,"""6917529085800923751""",,Legendary,Leg Armor,crucible,Titan,483,Solar Damage Resistance,1,Vault,false,false,2,4,,5,1,2,0,1,,Mobile Titan Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Crucible Legacy*,Shotgun Dexterity*,Energy Dexterity,Arrow Scavenger*,Primary Ammo Finder,,
Wing Discipline,1063904165,"""6917529088883105713""",,Legendary,Chest Armor,crucible,Titan,591,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,0,2,,Mobile Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Crucible Legacy*,Unflinching Light Arms Aim*,Unflinching Large Arms,Pulse Rifle Reserves*,Sidearm Reserves,,
Wing Discipline,1063904165,"""6917529088655223781""",,Legendary,Chest Armor,crucible,Titan,595,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,2,0,2,,Mobile Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Crucible Legacy*,Unflinching Auto Rifle Aim*,Unflinching Power Aim,Sidearm Reserves*,Special Ammo Finder,,
Vigil of Heroes,335317194,"""6917529088663677015""",,Legendary,Chest Armor,strikes,Titan,578,Void Damage Resistance,3,Vault,false,false,2,4,,N/A,N/A,2,0,2,,Mobile Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 3 Armor*,Vanguard Veteran*,Unflinching Pulse Rifle Aim*,Unflinching Power Aim,Auto Rifle Reserves*,Special Ammo Finder,,
Skerren Corvus Cloak,3352962401,"""6917529080157733196""",,Legendary,Hunter Cloak,eververse,Hunter,10,Void Damage Resistance,2,Vault,false,false,2,4,Festival of the Lost,5,1,0,0,0,,Tier 2 Armor*,Insulation*,Recuperation,Scout Rifle Reserves*,Sniper Rifle Reserves,,,,,,
Dragonfly Regalia Reaches,2530582647,"""6917529080346089486""",,Legendary,Gauntlets,eververse,Warlock,10,Arc Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Tier 2 Armor*,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Auto Rifle Loader*,Grenade Launcher Loader,Sword Scavenger*,Special Ammo Finder,,,
Prodigal Vest,2766448160,"""6917529086535425745""",,Legendary,Chest Armor,,Hunter,650,Arc Damage Resistance,1,Vault,false,false,2,4,,5,1,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Unflinching Grenade Launcher Aim,Unflinching Pulse Rifle Aim*,Pulse Rifle Reserves*,Scout Rifle Reserves,,,
Prodigal Grasps,2762426792,"""6917529096005072742""",,Legendary,Gauntlets,,Hunter,661,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,3,0,0,,Mobile Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Grenade Launcher Loader*,Momentum Transfer,Linear Fusion Rifle Scavenger*,Shotgun Scavenger,,,
Vanguard Dare Vest,3422717473,"""6917529084607177558""",,Legendary,Chest Armor,eververse,Hunter,10,Arc Damage Resistance,4,Vault,false,false,2,5,,N/A,N/A,1,1,2,,Tier 4 Armor*,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Unflinching Sniper Aim*,Unflinching Large Arms,Sidearm Reserves*,Primary Ammo Finder,,,
Iron Fellowship Strides,258029924,"""6917529086119861016""",,Legendary,Leg Armor,ironbanner,Hunter,645,Arc Damage Resistance,1,Vault,false,false,2,5,,N/A,N/A,4,0,0,,Mobile Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Iron Strength*,Traction*,Machine Gun Dexterity,Arrow Scavenger*,Primary Ammo Finder,,
Reverie Dawn Bond,3602032567,"""6917529080020945597""",,Legendary,Warlock Bond,dreaming,Warlock,516,Solar Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Insulation*,Invigoration,Recuperation,Linear Fusion Rifle Scavenger*,Sword Scavenger,,,
Dead End Cure 2.1,1998314509,"""6917529085433194213""",,Legendary,Gauntlets,,Hunter,613,,,Vault,false,false,1,1,,N/A,N/A,2,0,1,,Heavy Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Masterwork Upgrade*,,,,,,,
Tangled Web Bond,4256272077,"""6917529081797579718""",,Legendary,Warlock Bond,,Warlock,576,Solar Damage Resistance,2,Vault,false,false,2,4,,5,1,0,0,0,,Tier 2 Armor*,Recuperation*,Better Already,Grenade Launcher Reserves*,Hand Cannon Scavenger,,,,,,
Wing Theorem,327530279,"""6917529080639173532""",,Legendary,Warlock Bond,crucible,Warlock,582,Arc Damage Resistance,4,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 4 Armor*,Crucible Legacy*,Insulation*,Innervation,Scout Rifle Reserves*,Submachine Gun Reserves,,,,,
Wing Contender,3211001969,"""6917529086122646841""",,Legendary,Chest Armor,crucible,Hunter,645,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Crucible Legacy*,Unflinching Linear Fusion Aim*,Unflinching Light Arms Aim,Sidearm Reserves*,Special Ammo Finder,,
Tangled Web Strides,2206284939,"""6917529088580920556""",,Legendary,Leg Armor,,Hunter,633,Void Damage Resistance,3,Vault,false,false,2,4,,N/A,N/A,1,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 3 Armor*,Bow Dexterity*,Bomber,Pulse Rifle Scavenger*,Primary Ammo Finder,,,
Tangled Web Cloak,25091086,"""6917529083903307983""",,Legendary,Hunter Cloak,,Hunter,606,Solar Damage Resistance,3,Vault,false,false,2,4,,5,1,0,0,0,,Tier 3 Armor*,Insulation*,Innervation,Sniper Rifle Reserves*,Grenade Launcher Scavenger,,,,,,
Ancient Apocalypse Hood,1236746902,"""6917529081438129919""",,Legendary,Helmet,gambit,Warlock,596,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,0,2,1,,Restorative Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Super Mod*,Tier 2 Armor*,Gambit Leather*,Linear Fusion Rifle Targeting,Shotgun Targeting*,Rocket Launcher Reserves,Shotgun Reserves*,
Prodigal Strides,3397835010,"""6917529088835928792""",,Legendary,Leg Armor,,Hunter,634,Void Damage Resistance,3,Vault,false,false,2,4,,N/A,N/A,1,1,1,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 3 Armor*,Submachine Gun Dexterity*,Bomber,Scout Rifle Scavenger*,Special Ammo Finder,,,
Woven Firesmith Grips,240988159,"""6917529086260159804""",,Legendary,Gauntlets,blackarmory,Hunter,650,Solar Damage Resistance,2,Vault,false,false,2,5,,N/A,N/A,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,New Age Black Armory*,Fastball*,Momentum Transfer,Shotgun Scavenger*,Sniper Rifle Scavenger,,
Wing Contender,3211001969,"""6917529086498056630""",,Legendary,Chest Armor,crucible,Hunter,650,Arc Damage Resistance,2,Vault,true,false,2,4,,N/A,N/A,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Crucible Legacy*,Unflinching Fusion Rifle Aim*,Unflinching Kinetic Aim,Auto Rifle Reserves*,Special Ammo Finder,,
Tangled Web Grips,3609169817,"""6917529084708470344""",,Legendary,Gauntlets,,Hunter,596,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,1,0,,Survivalist Hunter Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Shotgun Loader*,Momentum Transfer,Linear Fusion Rifle Scavenger*,Sword Scavenger,,,
Scatterhorn Bond,177829853,"""6917529081193935613""",,Legendary,Warlock Bond,tangled,Warlock,591,Void Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Tangled Rust*,Invigoration*,Better Already,Shotgun Reserves*,Submachine Gun Scavenger,,,,,
Iron Fellowship Casque,142417051,"""6917529086113585807""",,Legendary,Helmet,ironbanner,Hunter,625,Arc Damage Resistance,1,Vault,false,false,2,5,,N/A,N/A,2,0,1,,Mobile Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Iron Strength*,Pump Action,Precision Weapon Targeting*,Grenade Launcher Reserves*,Linear Fusion Rifle Reserves,,
Iron Remembrance Legs,2455992644,"""6917529082010432157""",,Legendary,Leg Armor,ironbanner,Warlock,600,Arc Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,0,2,1,,Restorative Warlock Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Tier 1 Armor*,Rusted Iron*,Fusion Rifle Dexterity,Pulse Rifle Dexterity*,Hand Cannon Scavenger*,Submachine Gun Scavenger,,
Tangled Web Mask,4261835528,"""6917529086864421592""",,Legendary,Helmet,,Hunter,621,Void Damage Resistance,1,Vault,false,false,2,4,,5,2,1,1,1,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Sniper Rifle Targeting*,Heavy Lifting,Grenade Launcher Reserves*,Heavy Ammo Finder,,,
